graph_id,num_nodes,num_edges,noise_type,sigma,attack_auroc,attack_f1,attack_edge_recall,model_acc
18,56,79,laplace,0.2,0.482775196282647,0.08860759493558726,0.08860759493558724,0.9285714626312256
18,56,79,laplace,0.3,0.4806921967633393,0.02531645569588207,0.02531645569588207,0.8928571939468384
19,27,47,gaussian,0.0,0.9764599366229063,0.8510638297691262,0.8510638297691263,0.7777777910232544
19,27,47,gaussian,0.05,0.48347668628338614,0.21276595744228155,0.21276595744228158,0.7777777910232544
19,27,47,gaussian,0.1,0.555454956994115,0.2553191489307379,0.2553191489307379,0.7777777910232544
19,27,47,gaussian,0.2,0.5925758261656858,0.19148936169805345,0.19148936169805345,0.7777777910232544
19,27,47,gaussian,0.3,0.47442281575373474,0.06382978723268448,0.06382978723268448,0.7407407760620117
19,27,47,laplace,0.0,0.9800814848347668,0.8510638297691262,0.8510638297691263,0.7777777910232544
19,27,47,laplace,0.05,0.6138524219103666,0.23404255318650974,0.23404255318650974,0.7777777910232544
19,27,47,laplace,0.1,0.511090991398823,0.19148936169805345,0.19148936169805345,0.7777777910232544
19,27,47,laplace,0.2,0.6419194205522861,0.21276595744228155,0.21276595744228158,0.7777777910232544
19,27,47,laplace,0.3,0.5577184246265278,0.12765957446536896,0.12765957446536896,0.7407407760620117
20,481,1012,gaussian,0.0,0.9995195988064178,0.7865612648213571,0.7865612648213571,0.8607068657875061
20,481,1012,gaussian,0.05,0.5362683372650721,0.012845849802358849,0.012845849802358849,0.8544698357582092
20,481,1012,gaussian,0.1,0.5371022043775094,0.006916996047423995,0.006916996047423995,0.8482328653335571
20,481,1012,gaussian,0.2,0.5265675530003593,0.004940711462445711,0.004940711462445711,0.8565488457679749
20,481,1012,gaussian,0.3,0.5065137324438751,0.009881422924891421,0.009881422924891421,0.8607068657875061
20,481,1012,laplace,0.0,0.9982346232561046,0.7865612648213571,0.7865612648213571,0.8607068657875061
20,481,1012,laplace,0.05,0.5557909825180835,0.00889328063240228,0.00889328063240228,0.8627858757972717
20,481,1012,laplace,0.1,0.5260153845552968,0.01383399209484799,0.01383399209484799,0.8731808662414551
20,481,1012,laplace,0.2,0.5306138589885798,0.012845849802358849,0.012845849802358849,0.8586278557777405
20,481,1012,laplace,0.3,0.51208619100439,0.009881422924891421,0.009881422924891421,0.8544698357582092
21,54,92,gaussian,0.0,0.9995274102079396,0.9239130434682183,0.9239130434682183,0.8518518805503845
21,54,92,gaussian,0.05,0.6863185255198488,0.09782608695545841,0.09782608695545841,0.8518518805503845
21,54,92,gaussian,0.1,0.5294187145557656,0.06521739130363893,0.06521739130363893,0.8518518805503845
21,54,92,gaussian,0.2,0.5128780718336484,0.07608695652091209,0.07608695652091209,0.8518518805503845
21,54,92,gaussian,0.3,0.5001181474480151,0.06521739130363893,0.06521739130363893,0.8333333134651184
21,54,92,laplace,0.0,0.9958648393194707,0.9239130434682183,0.9239130434682183,0.8518518805503845
21,54,92,laplace,0.05,0.5671077504725899,0.10869565217273155,0.10869565217273157,0.8518518805503845
21,54,92,laplace,0.1,0.48594045368620037,0.05434782608636578,0.054347826086365784,0.8333333134651184
21,54,92,laplace,0.2,0.499054820415879,0.06521739130363893,0.06521739130363893,0.8518518805503845
21,54,92,laplace,0.3,0.545132325141777,0.06521739130363893,0.06521739130363893,0.7962962985038757
22,67,114,gaussian,0.0,0.9819944598337951,0.7280701754322099,0.7280701754322099,0.8805969953536987
22,67,114,gaussian,0.05,0.6339642967066789,0.12280701754278239,0.12280701754278239,0.8805969953536987
22,67,114,gaussian,0.1,0.5806401969836873,0.12280701754278239,0.12280701754278239,0.8656716346740723
22,67,114,gaussian,0.2,0.5780240073868882,0.05263157894690674,0.05263157894690674,0.8358208537101746
22,67,114,gaussian,0.3,0.5276238842720837,0.07017543859587565,0.07017543859587565,0.8358208537101746
22,67,114,laplace,0.0,0.9818405663281009,0.7280701754322099,0.7280701754322099,0.8805969953536987
22,67,114,laplace,0.05,0.6012619267466912,0.10526315789381348,0.10526315789381348,0.8805969953536987
22,67,114,laplace,0.1,0.5379347491535857,0.04385964912242228,0.04385964912242228,0.8656716346740723
22,67,114,laplace,0.2,0.5474761465066174,0.05263157894690674,0.05263157894690674,0.8208954930305481
22,67,114,laplace,0.3,0.5273930440135426,0.02631578947345337,0.02631578947345337,0.8059701323509216
23,12,24,gaussian,0.0,0.44010416666666663,0.4166666666493056,0.4166666666493056,1.0
23,12,24,gaussian,0.05,0.529513888888889,0.4166666666493056,0.4166666666493056,1.0
23,12,24,gaussian,0.1,0.43576388888888884,0.37499999998437505,0.374999999984375,1.0
23,12,24,gaussian,0.2,0.3767361111111111,0.37499999998437505,0.374999999984375,1.0
23,12,24,gaussian,0.3,0.3975694444444445,0.3333333333194444,0.3333333333194444,1.0
23,12,24,laplace,0.0,0.43576388888888884,0.4166666666493056,0.4166666666493056,1.0
23,12,24,laplace,0.05,0.6006944444444444,0.49999999997916666,0.49999999997916666,1.0
23,12,24,laplace,0.1,0.453125,0.3333333333194444,0.3333333333194444,1.0
23,12,24,laplace,0.2,0.5746527777777777,0.37499999998437505,0.374999999984375,1.0
23,12,24,laplace,0.3,0.640625,0.5416666666440972,0.5416666666440972,1.0
24,36,70,gaussian,0.0,0.9785714285714284,0.7999999999885715,0.7999999999885714,0.7777777910232544
24,36,70,gaussian,0.05,0.6022448979591837,0.18571428571163265,0.18571428571163265,0.7777777910232544
24,36,70,gaussian,0.1,0.603469387755102,0.17142857142612244,0.17142857142612244,0.75
24,36,70,gaussian,0.2,0.5457142857142857,0.11428571428408163,0.11428571428408163,0.75
24,36,70,gaussian,0.3,0.5214285714285715,0.11428571428408163,0.11428571428408163,0.7777777910232544
24,36,70,laplace,0.0,0.9861224489795919,0.7999999999885715,0.7999999999885714,0.7777777910232544
24,36,70,laplace,0.05,0.5840816326530611,0.18571428571163265,0.18571428571163265,0.7777777910232544
24,36,70,laplace,0.1,0.6124489795918368,0.14285714285510204,0.14285714285510204,0.7777777910232544
24,36,70,laplace,0.2,0.526734693877551,0.17142857142612244,0.17142857142612244,0.8055555820465088
24,36,70,laplace,0.3,0.5689795918367347,0.19999999999714288,0.19999999999714285,0.8333333134651184
25,126,265,gaussian,0.0,0.9915557137771449,0.7509433962235814,0.7509433962235814,0.8968254327774048
25,126,265,gaussian,0.05,0.6182413670345319,0.1283018867919687,0.1283018867919687,0.9047619700431824
25,126,265,gaussian,0.1,0.5789818440726235,0.11698113207503026,0.11698113207503026,0.888888955116272
25,126,265,gaussian,0.2,0.5464578141687433,0.03396226415081524,0.03396226415081524,0.9126984477043152
25,126,265,gaussian,0.3,0.5428693485226059,0.05660377358469206,0.05660377358469206,0.865079402923584
25,126,265,laplace,0.0,0.995685297258811,0.7509433962235814,0.7509433962235814,0.8968254327774048
25,126,265,laplace,0.05,0.5716625133499467,0.06415094339598434,0.06415094339598434,0.8968254327774048
25,126,265,laplace,0.1,0.5027981488074047,0.0301886792451691,0.0301886792451691,0.9047619700431824
25,126,265,laplace,0.2,0.5280028479886081,0.0301886792451691,0.0301886792451691,0.8968254327774048
25,126,265,laplace,0.3,0.5557564969740121,0.06415094339598434,0.06415094339598434,0.888888955116272
26,98,156,gaussian,0.0,0.9919871794871795,0.7179487179441157,0.7179487179441157,0.8673469424247742
26,98,156,gaussian,0.05,0.5529667981591058,0.06410256410215319,0.06410256410215319,0.8775510191917419
26,98,156,gaussian,0.1,0.5505834976988824,0.05769230769193787,0.05769230769193787,0.8775510191917419
26,98,156,gaussian,0.2,0.5607741617357,0.044871794871507234,0.044871794871507234,0.8775510191917419
